item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase,frecuencia,estacionalidad,tendencia,intermitente
123,coastal glow in the dark collar fish,paseo,accesorio,10490,7887,22,0,0.001,500,-1.0,1.0,0,1.0
1604,pala sanitaria (granulos) celeste,higiene,accesorio,4190,3287,9,0,0.001,500,-1.0,0.0,0,1.0
889,renal chicken cat pouch 85 gr,humedo,alimento,1900,1308,6,8,0.015,550,-1.0,1.0,1,1.0
494,pro plan puppy large breed 15kg ar,cachorros,alimento,81230,58328,246,3,0.015,5150,-1.0,1.0,1,1.0
1193,brit care adult small breed l&r 1 kg,adultos,alimento,8190,5515,26,4,0.015,2450,-1.0,1.0,1,1.0
316,zeedog prisma adjustable air mesh harness small,paseo,accesorio,19300,15357,41,2,0.001,500,-1.0,1.0,1,1.0
1665,bliss adjustable air mesh harness medium,paseo,accesorio,23900,17912,50,1,0.001,750,-1.0,1.0,1,1.0
1425,florafix pet pasta probiotico 15 grs,medicamentos,medicamento,10690,8008,20,0,0.0002,500,-1.0,1.0,0,1.0
194,superpet perro adulto,suplementos,medicamento,6990,4752,14,9,0.001,500,-1.0,1.0,1,1.0
486,collar c/flor  ch. a. doctor,paseo,accesorio,2980,2086,6,2,0.001,500,-1.0,1.0,1,1.0
1544,frontline 250 ml,ant. ext.,medicamento,18990,12367,35,2,0.0002,500,-1.0,1.0,1,1.0
1607,dogit estaca de enganche manilla roja,paseo,accesorio,8990,6426,19,2,0.001,500,-1.0,1.0,1,1.0
1120,zeedog atlanta adjustable air mesh harness medium,paseo,accesorio,23900,17035,50,1,0.001,500,-1.0,1.0,1,1.0
266,zeedog gotham leash small,paseo,accesorio,13850,10386,29,0,0.001,500,-1.0,1.0,0,1.0
408,pawise mat de enfriamiento m 50x40 cm,enriquecimiento ambiental,accesorio,14990,10118,31,2,0.001,500,,,1,
67,cadena cordon 3 mm a.doctor,paseo,accesorio,4190,2749,9,0,0.001,500,-1.0,1.0,0,1.0
1100,zd smash adjustable air mesh harness large,paseo,accesorio,26400,19566,55,0,0.001,500,-1.0,1.0,0,1.0
596,royal canin maxi adulto 15 kg,adultos,alimento,85410,66570,257,3,0.015,3000,-1.0,1.0,1,1.0
1298,ocubiotic,ocular,medicamento,13990,9502,26,2,0.0002,500,,,1,
1702,afp chill out mat de enfriamiento large,juguetes,accesorio,49990,35078,104,2,0.001,1150,,,1,
1318,proplan veterinarydiets cnne nc 6x2kg ar,adultos,alimento,28990,21856,88,0,0.015,1650,-1.0,1.0,0,1.0
820,coastal sublime collar diamond l,paseo,accesorio,16990,11295,36,2,0.001,500,-1.0,1.0,1,1.0
782,capa polar chiporro t/2 cata pets,ropa,accesorio,10590,8281,22,1,0.001,500,-1.0,1.0,1,1.0
745,zd army green handsfree leash,paseo,accesorio,24900,19339,61,2,0.004,850,,,1,
614,laxavet x 40 gr.,digestivo,medicamento,9720,6893,18,0,0.0002,500,,,0,
350,pro plan exigent small breed 3kg ar,adultos,alimento,30830,24032,93,0,0.015,800,,,0,
867,cama para perro azumpets,hogar-transporte,accesorio,36990,27358,77,30,0.001,500,-1.0,1.0,1,1.0
1435,pet woow dispensador de alimento,comederos,accesorio,159990,104395,335,5,0.001,1350,-1.0,1.0,1,1.0
1556,amity sp low grain salmon adult 4 kg,adultos,alimento,18990,12690,57,0,0.015,1700,-1.0,1.0,0,1.0
365,daily stuff transportadora route 1,hogar-transporte,accesorio,13990,9803,29,9,0.001,500,-1.0,1.0,1,1.0
787,pelota portagolosina azul medium,juguetes,accesorio,9350,6367,20,2,0.001,500,,,1,
1302,zeedog same h-harness large,paseo,accesorio,18900,13630,39,1,0.001,500,,,1,
607,bravery salmon adult cat 2 kg,adultos,alimento,16990,12927,52,2,0.015,850,-1.0,0.0,1,1.0
1527,cabatina 25 ml,vitaminas,medicamento,11010,8608,21,0,0.0002,500,,,0,
1317,zeedog mahalo leash small,paseo,accesorio,13850,10412,34,2,0.004,1150,-1.0,1.0,1,1.0
261,zeedog zee.mat black,accesorios,accesorio,12860,9344,27,0,0.001,500,,,0,
1043,lactadiet 7.5 gr sobre calostro,suplementos,medicamento,790,610,2,2,0.0002,500,-1.0,1.0,1,1.0
994,ultimate blue h-harness small,paseo,accesorio,13900,10181,34,2,0.004,1200,-1.0,0.0,1,1.0
610,pink led cat collar,paseo,accesorio,4900,3850,10,4,0.001,500,-1.0,1.0,1,1.0
677,poleron t/5 cata pets,ropa,accesorio,12990,8814,31,1,0.004,500,-1.0,1.0,1,1.0
1007,fritz adjustable air mesh small,paseo,accesorio,19300,14545,41,0,0.001,600,-1.0,1.0,0,1.0
465,royal can. shn mini adulto 3 kgr.,cachorros,alimento,25530,20038,77,0,0.015,1450,-1.0,1.0,0,1.0
1745,coastal sublime collar chevrons l,paseo,accesorio,16990,11446,42,3,0.004,1600,-1.0,1.0,1,1.0
1144,coastal fashion collar blossoms,paseo,accesorio,7990,6339,17,0,0.001,500,-1.0,1.0,0,1.0
1647,zeus collar ajustable  m  rojo,paseo,accesorio,5290,4189,11,2,0.001,500,,,1,
506,pro plan puppy small breed 3kg ar,cachorros,alimento,30830,22027,93,3,0.015,4800,-1.0,0.0,1,1.0
71,arnes de seguridad para auto talla: xl,paseo,accesorio,19990,14624,49,0,0.004,500,-1.0,1.0,0,1.0
259,pawise hollow buho,juguetes,accesorio,5000,3498,13,0,0.004,750,,,0,
51,duo bowl black,comederos,accesorio,12900,8941,27,0,0.001,500,-1.0,1.0,0,1.0
1091,cerenia comp. 60 mg.,digestivo,medicamento,23360,15549,43,2,0.0002,500,-1.0,1.0,1,1.0
931,bolso cabina negro,hogar-transporte,accesorio,21900,16366,54,0,0.004,1450,-1.0,1.0,0,1.0
813,royal canin mini indoor adulto 2.5kg,adultos,alimento,26300,17276,80,0,0.015,3350,-1.0,1.0,0,1.0
332,zeedog atlanta adjustable air mesh harness extra small,paseo,accesorio,29950,22161,62,0,0.001,500,-1.0,1.0,0,1.0
752,collar gato brillantes a.doct.,paseo,accesorio,3950,3021,9,5,0.001,500,-1.0,1.0,1,1.0
354,dogit dispensador alimento 2 lt,comederos,accesorio,13990,9916,29,1,0.001,500,-1.0,1.0,1,1.0
864,poleron t/1 cata pets,ropa,accesorio,8990,6317,19,2,0.001,500,-1.0,1.0,1,1.0
792,zd smash collar large,paseo,accesorio,12900,8711,31,0,0.004,1350,-1.0,1.0,0,1.0
1290,zd honey adjustable air mesh harness large,paseo,accesorio,26400,17759,65,1,0.004,550,,,1,
1694,pack hamster animal care n°2,hogar-transporte,accesorio,67340,46574,164,0,0.004,600,-1.0,1.0,0,1.0
518,zd artsy collar large,paseo,accesorio,12900,8730,27,0,0.001,500,-1.0,1.0,0,1.0
1068,simparica antiparasitario 40 mg,antiparasitarios,medicamento,10990,7658,23,5,0.001,500,-1.0,0.0,1,1.0
590,power ultra  21 - 40 kg,ant. ext.,medicamento,11360,8274,21,4,0.0002,500,-1.0,1.0,1,1.0
857,afp travel dog arnes seguridad m,paseo,accesorio,21990,17065,46,1,0.001,550,-1.0,1.0,1,1.0
192,brit care cat sterilized urinary 7kg,adultos,alimento,55990,39355,168,0,0.015,6050,-1.0,1.0,0,1.0
538,zd bordeau h-harness medium,paseo,accesorio,16900,11146,42,0,0.004,1300,-1.0,1.0,0,1.0
1669,afp travel dog arnes seguridad l,paseo,accesorio,24990,19606,61,3,0.004,500,,,1,
1022,big bone aluminum pink (my family),placas identificacion,accesorio,7130,4638,15,0,0.001,500,-1.0,1.0,0,1.0
1344,sierra mountain 2 kg.,adultos,alimento,18290,12595,55,1,0.015,2000,-1.0,1.0,1,1.0
1461,bloque neutralizador tortuga nutrafin,enriquecimiento ambiental,accesorio,1990,1403,4,1,0.001,500,-1.0,1.0,1,1.0
141,big round aluminum black (my family),placas identificacion,accesorio,7130,5469,15,0,0.001,500,-1.0,1.0,0,1.0
1121,cama iglu erizo mediano,camas,accesorio,4690,3650,10,1,0.001,500,-1.0,1.0,1,1.0
1747,pez portagolosina rosado,juguetes,accesorio,3290,2592,7,0,0.001,500,-1.0,1.0,0,1.0
339,zeedog greg,paseo,accesorio,8900,6628,19,0,0.001,500,,,0,
555,dispensador alimento maya / s (200 gr.),comederos,accesorio,5630,4201,12,0,0.001,500,-1.0,1.0,0,1.0
439,zeedog phantom adjustable air mesh harness small,paseo,accesorio,19300,14251,41,0,0.001,550,-1.0,0.0,0,1.0
374,pro plan gatos adulto salmon pouch 85,humedo,alimento,2330,1672,8,0,0.015,3500,-1.0,1.0,0,1.0
271,pro plan feline veterinary diets nf advanced,adultos,alimento,30450,21757,91,1,0.015,3400,-1.0,1.0,1,1.0
184,bravery chicken mini puppy small breeds 7 kg,cachorros,alimento,39990,29998,121,3,0.015,1700,-1.0,0.0,1,1.0
1539,bozal clinico 3 (a. doctor),paseo,accesorio,7790,6191,17,2,0.001,500,-1.0,0.0,1,1.0
244,canine i/d lata x low fat 370 grs,latas medicadas,alimento,4290,3336,13,1,0.015,1200,-1.0,1.0,1,1.0
1146,bliss collar extra small,paseo,accesorio,7900,5579,19,0,0.004,550,-1.0,1.0,0,1.0
1247,satiety feline pouch 85 gr,humedo,alimento,1900,1290,6,6,0.015,4600,,,1,
721,pack conejo animal care,hogar-transporte,accesorio,73760,51850,155,3,0.001,500,-1.0,1.0,1,1.0
1586,respig jarabe,antibiotico,medicamento,9620,6960,18,2,0.0002,500,,,1,
1341,biotivet plus 200 mg x 10 comp,antibiotico,medicamento,17290,12944,32,0,0.0002,500,-1.0,1.0,0,1.0
798,jaula cage cavie 60,hogar-transporte,accesorio,36740,24653,77,0,0.001,800,-1.0,1.0,0,1.0
968,body gato 0 verde,ropa,accesorio,17590,12998,37,0,0.001,500,-1.0,1.0,0,1.0
1360,zeus arnes fig.a  s  fucsia,paseo,accesorio,7990,5969,19,0,0.004,850,-1.0,1.0,0,1.0
1683,oftal 50 ml.,ocular,medicamento,12470,8706,23,2,0.0002,500,-1.0,1.0,1,1.0
1221,zeedog atlanta collar large,paseo,accesorio,12860,8913,31,3,0.004,850,-1.0,1.0,1,1.0
1492,jg air wand con juguete,juguetes,accesorio,24260,16092,51,0,0.001,600,-1.0,1.0,0,1.0
1591,pro plan active mind small breed 7.5 kg,senior,alimento,47120,33954,142,1,0.015,4050,-1.0,1.0,1,1.0
381,zd army green ruff leash small,paseo,accesorio,21900,15411,54,2,0.004,1350,,,1,
411,zeedog mahalo leash large,paseo,accesorio,16840,13060,35,1,0.001,500,-1.0,1.0,1,1.0
438,zeedog brain dead,paseo,accesorio,10000,7157,25,1,0.004,1000,-1.0,1.0,1,1.0
1251,zeedog skull h-harness small,paseo,accesorio,12700,9190,27,6,0.001,500,,,1,
1679,zeus nosh hueso duro sabor tocino m,juguetes,accesorio,8990,6939,22,0,0.004,1200,-1.0,1.0,0,1.0
1210,coastal sublime collar chevrons s/m,paseo,accesorio,12490,8343,26,0,0.001,500,-1.0,1.0,0,1.0
1339,afp lamb flying mouse,juguetes,accesorio,8990,6466,22,0,0.004,500,-1.0,1.0,0,1.0
1531,pack hamster  animal care  n°1,hogar-transporte,accesorio,54200,42743,114,3,0.001,500,,,1,
744,caña con pompones,juguetes,accesorio,3990,2907,9,3,0.001,500,-1.0,1.0,1,1.0
482,coastal circle-t collar redondo cuero rustico chocolate 55 c,paseo,accesorio,27290,19098,58,1,0.001,500,-1.0,1.0,1,1.0
567,collar cuero nº 6 (g. araya),paseo,accesorio,8690,6698,21,2,0.004,500,-1.0,1.0,1,1.0
182,zd artsy adjustable air mesh harness medium,paseo,accesorio,23900,17161,58,0,0.004,1100,-1.0,1.0,0,1.0
170,military big (my family),placas identificacion,accesorio,11360,8545,27,0,0.004,1250,-1.0,1.0,0,1.0
292,royal can. shn mini adulto 1 kgr.,adultos,alimento,10990,7196,34,3,0.015,1350,-1.0,1.0,1,1.0
480,zd volt adj. air mesh harness medium,paseo,accesorio,23900,16045,50,1,0.001,600,-1.0,1.0,1,1.0
1753,fancy feast tartare trucha 85 g,latas,alimento,900,591,3,0,0.015,2955,-1.0,1.0,0,1.0
478,catapet cama chiporro chica nº1,camas,accesorio,18990,13908,39,0,0.001,500,-1.0,1.0,0,1.0
1549,zeedog ella collar large,paseo,accesorio,12860,9435,27,0,0.001,500,,,0,
808,brit care gf adult salmon 12 kg,adultos,alimento,62990,47305,190,9,0.015,1300,,,1,
1074,nutram sound adult senior cat 1.13 kg,senior,alimento,19870,13936,60,2,0.015,5050,,,1,
1540,catit rasguðador  banca ,enriquecimiento ambiental,accesorio,22990,16154,49,0,0.001,600,-1.0,0.0,0,1.0
371,zeedog mr. x,juguetes,accesorio,13900,9089,34,0,0.004,1250,-1.0,1.0,0,1.0
1736,timoty clubbungalow-l,enriquecimiento ambiental,accesorio,50900,39958,107,0,0.001,1050,-1.0,0.0,0,1.0
910,arnes de seguridad para auto talla: m,paseo,accesorio,15990,12402,39,0,0.004,1000,-1.0,1.0,0,1.0
453,small heart aluminum purple (my family),placas identificacion,accesorio,7130,5189,18,0,0.004,500,-1.0,1.0,0,1.0
1283,zeedog mahalo collar cat,paseo,accesorio,4880,3837,10,0,0.001,500,-1.0,1.0,0,1.0
1596,pawise cama cafe perros,camas,accesorio,14990,10606,31,0,0.001,500,-1.0,1.0,0,1.0
175,zd bordeau collar large,paseo,accesorio,12900,8877,27,0,0.001,500,-1.0,0.0,0,1.0
1458,collar cuero nº 2 (g. araya),paseo,accesorio,5490,3864,12,3,0.001,500,-1.0,1.0,1,1.0
1454,"zeus collar semifijo ""l"" grafito",paseo,accesorio,7989,5419,17,2,0.001,500,-1.0,1.0,1,1.0
1030,"planet dog planet ball azul/verde ""s""",juguetes,accesorio,11590,8373,25,0,0.001,500,-1.0,1.0,0,1.0
334,capa arnè talla 3 cata pets,ropa,accesorio,15490,11056,33,1,0.001,500,-1.0,0.0,1,1.0
613,pro plan kitten pollo 85 gr pouch,humedo,alimento,1,0,1,1,0.015,0,-1.0,1.0,1,1.0
1538,royal canin mini schnauzer adulto 2.5 kilo,razas,alimento,27650,19021,83,1,0.015,3550,,,1,
1226,zeedog gotham h-harness large,paseo,accesorio,19830,15713,42,1,0.001,750,-1.0,1.0,1,1.0
923,pawise mono con tirador,juguetes,accesorio,7990,5813,19,0,0.004,500,-1.0,1.0,0,1.0
979,afp chill out mat de enfriamiento medium,juguetes,accesorio,27990,21855,69,1,0.004,1500,-1.0,1.0,1,1.0
530,collar cuero nº 3 ( g. araya),paseo,accesorio,6190,4736,13,1,0.001,500,-1.0,1.0,1,1.0
198,planet dog lil snoop royal,juguetes,accesorio,17990,13750,38,1,0.001,500,-1.0,1.0,1,1.0
15,small heart aluminum red (my family),placas identificacion,accesorio,7130,5357,15,2,0.001,500,-1.0,1.0,1,1.0
1378,contralac 20 x 16 comp.,comportamiento,medicamento,34870,26419,64,0,0.0002,500,-1.0,1.0,0,1.0
1270,zeedog mahalo h-harness large,paseo,accesorio,19830,15697,42,0,0.001,500,,,0,
1448,pawise fetch it leon,juguetes,accesorio,6990,4994,14,0,0.001,500,-1.0,0.0,0,1.0
832,royal can fhn fit 32 7.5 kilo,adultos,alimento,65290,47175,196,3,0.015,2200,,,1,
532,pro plan adult large breed 15kg ar,adultos,alimento,77690,59504,234,1,0.015,4450,-1.0,1.0,1,1.0
1671,coastal fashion collar scales,paseo,accesorio,7990,5222,17,0,0.001,500,-1.0,0.0,0,1.0
483,royal canin mini adulto  8 kg fr,adultos,alimento,48960,36290,147,1,0.015,500,-1.0,1.0,1,1.0
199,royal canin poodle adulto 3 kg,razas,alimento,33160,23860,100,2,0.015,3900,-1.0,1.0,1,1.0
643,le salon essentials peine desenredar,grooming,accesorio,20990,13872,44,3,0.001,500,-1.0,1.0,1,1.0
1682,power 1 p. 11-20 kg,ant. ext.,medicamento,9190,6539,17,4,0.0002,500,-1.0,1.0,1,1.0
1784,zeedog split leash small,paseo,accesorio,13900,10840,29,1,0.001,500,,,1,
602,zeedog skull leash extra small,paseo,accesorio,10860,7320,22,1,0.001,500,-1.0,1.0,1,1.0
1214,royal canin  feline hepatic 1.5kg,medicados,alimento,22210,15129,67,0,0.015,2450,-1.0,1.0,0,1.0
746,pro plan adult cat 1kg ar,adultos,alimento,13900,9884,42,2,0.015,4000,-1.0,1.0,1,1.0
1176,mazuri tubo huron,enriquecimiento ambiental,accesorio,43890,32247,107,0,0.004,2200,,,0,
1314,zeedog prisma collar large,paseo,accesorio,12860,8711,27,0,0.001,500,,,0,
993,columbia air mesh harness medium,paseo,accesorio,22500,16365,55,1,0.004,1450,-1.0,1.0,1,1.0
56,columbia leash extra small,paseo,accesorio,10900,8341,26,1,0.004,500,,,1,
588,zeedog neon coral handsfree leash,paseo,accesorio,24900,19591,61,0,0.004,500,,,0,
1305,zeedog prisma collar cat,paseo,accesorio,4880,3822,11,1,0.004,500,-1.0,1.0,1,1.0
1208,coastal style collar skulls m,paseo,accesorio,8800,6566,22,1,0.004,1150,,,1,
1407,timothy tunel,enriquecimiento ambiental,accesorio,24600,18683,52,0,0.001,500,-1.0,1.0,0,1.0
43,zeedog neopro bubblegum cat collar,paseo,accesorio,5800,4064,12,0,0.001,500,-1.0,1.0,0,1.0
100,"dogit cuerdas anudadas rosada ""s""",juguetes,accesorio,2790,1968,6,0,0.001,500,-1.0,0.0,0,1.0
274,bravery light iberian pork adult l/m breeds 4 kg,weight control,alimento,24990,19507,75,1,0.015,3100,-1.0,1.0,1,1.0
353,bravery lamb mini adult small breed 2 kg,adultos,alimento,17990,13014,55,2,0.015,4900,-1.0,1.0,1,1.0
101,ratón portagolosina rosado,juguetes,accesorio,2990,2042,6,1,0.001,500,-1.0,1.0,1,1.0
1710,l.w piedra de lamer peq. anim. gan,snack,accesorio,3990,2769,9,1,0.001,500,-1.0,1.0,1,1.0
841,catit 2.0 fuente bebedera flor led 3 lt,bebederos,accesorio,61990,45666,151,0,0.004,500,,,0,
107,zeedog super banana,juguetes,accesorio,9870,7603,21,1,0.001,500,-1.0,1.0,1,1.0
1684,zd midnight cat collar,paseo,accesorio,4900,3389,10,0,0.001,500,-1.0,1.0,0,1.0
807,bliss collar medium,paseo,accesorio,10900,7710,26,1,0.004,550,-1.0,1.0,1,1.0
777,coastal new earth collar de soya menta s/m,paseo,accesorio,10490,7756,22,1,0.001,500,-1.0,1.0,1,1.0
1165,fhn fit 32 1.5kg,adultos,alimento,19710,14156,60,3,0.015,4650,-1.0,0.0,1,1.0
543,brit care adult large breed l&r 12 kg,adultos,alimento,62990,47107,190,4,0.015,5250,,,1,
950,camon juguete perro pelota tenis c/ sonido 2 un ,juguetes,accesorio,5290,4231,11,1,0.001,500,-1.0,1.0,1,1.0
426,zeus collar ajustable  s  fucsia,paseo,accesorio,4190,3286,10,0,0.004,1050,-1.0,1.0,0,1.0
1034,le salon cepillo goma c/mango curvo,grooming,accesorio,6490,4636,15,5,0.004,500,-1.0,1.0,1,1.0
1211,wicked flyharness size 4,paseo,accesorio,37900,26337,79,0,0.001,750,-1.0,0.0,0,1.0
128,brit care cat grain-free haircare healthy & shiny coat 2 kg,adultos,alimento,18990,14052,57,5,0.015,500,-1.0,1.0,1,1.0
1551,ladybug (my family),placas identificacion,accesorio,17560,13730,37,0,0.001,500,-1.0,1.0,0,1.0
1296,royal can fhn indoor 7.5 kg,adultos,alimento,65290,50859,196,1,0.015,5300,-1.0,1.0,1,1.0
1320,oftavet,ocular,medicamento,19660,15497,37,24,0.0002,500,-1.0,1.0,1,1.0
1566,kertesin 20 mg,antialergico,medicamento,19870,13301,37,0,0.0002,500,-1.0,0.0,0,1.0
1137,smart fun chaqueta outdoor c/arnes xl,paseo,accesorio,32990,23631,69,1,0.001,650,-1.0,1.0,1,1.0
1094,zeedog gotham collar large,paseo,accesorio,12860,8805,31,0,0.004,650,-1.0,1.0,0,1.0
554,zeedog brain freeze,paseo,accesorio,10000,6997,21,1,0.001,500,-1.0,1.0,1,1.0
481,afp doggies zapato oveja,juguetes,accesorio,17990,12950,45,1,0.004,1350,-1.0,1.0,1,1.0
780,bliss cat collar,paseo,accesorio,4900,3417,10,0,0.001,500,-1.0,1.0,0,1.0
904,zd hawkins stranger  leash large,paseo,accesorio,16900,11227,36,0,0.001,500,-1.0,1.0,0,1.0
1404,royal can. hepatic canine 2 kg.,medicados,alimento,26130,19458,78,0,0.015,2450,-1.0,1.0,0,1.0
1228,frontline plus pipeta perro 20-40 kg.,ant. ext.,medicamento,15500,11939,29,3,0.0002,500,-1.0,1.0,1,1.0
678,zd smash collar small,paseo,accesorio,9900,7447,21,1,0.001,500,-1.0,1.0,1,1.0
925,gumi juguete hilo dental seda  mini ,juguetes,accesorio,9700,6574,20,2,0.001,500,-1.0,1.0,1,1.0
1446,bravery chicken mini adult small breeds 2 kg,adultos,alimento,15990,12132,49,1,0.015,1700,-1.0,1.0,1,1.0
901,yorkshire terrier adulto  2.5kilo,razas,alimento,27650,18538,83,4,0.015,800,-1.0,1.0,1,1.0
1239,dogit alfombrilla educadora  medium 14un,higiene,accesorio,6790,5416,17,12,0.004,500,-1.0,1.0,1,1.0
756,carpeta orientadora x uni.,higiene,accesorio,600,436,2,0,0.001,500,-1.0,1.0,0,1.0
978,zd skull 2.0 collar medium,paseo,accesorio,10900,8291,22,2,0.001,500,,,1,
730,collar cuero nº 5 (g. araya),paseo,accesorio,7390,5365,15,3,0.001,500,-1.0,1.0,1,1.0
405,zd skull 2.0 leash small,paseo,accesorio,13900,10363,29,0,0.001,500,-1.0,1.0,0,1.0
1293,pro plan adulto carne pouch 100 gr,humedo,alimento,2530,2018,8,15,0.015,2000,,,1,
1351,nf jfc more spraying 709 ml,acc acuarios,accesorio,14990,9909,31,0,0.001,550,,,0,
309,zd artsy collar medium,paseo,accesorio,10900,8128,26,3,0.004,500,-1.0,1.0,1,1.0
1593,pixel collar small,paseo,accesorio,10900,7806,22,0,0.001,500,-1.0,1.0,0,1.0
1457,pink led adjustable air mesh harness small,paseo,accesorio,19300,14298,41,0,0.001,500,-1.0,1.0,0,1.0
1433,royal canin maxi junior 15 kgr,adultos,alimento,89240,68412,268,4,0.015,1900,-1.0,0.0,1,1.0
700,tx 2 pelotas yute catnip,juguetes,accesorio,2190,1510,5,0,0.001,500,-1.0,0.0,0,1.0
148,cytopoint 10 mg iny 3-10 k,medicamentos,medicamento,27490,19167,51,0,0.0002,500,-1.0,1.0,0,1.0
548,zeedog fatboy ruff leash large,paseo,accesorio,23820,18165,50,0,0.001,900,,,0,
651,zd candy collar large,paseo,accesorio,12900,10004,27,0,0.001,500,-1.0,1.0,0,1.0
1233,big heart aluminum light blue (my family),placas identificacion,accesorio,7130,5027,18,0,0.004,500,,,0,
720,zeedog mahalo collar medium,paseo,accesorio,10860,7202,22,0,0.001,500,-1.0,1.0,0,1.0
736,bravecto 1.300 mg perro 40 a 56 kg,ant. ext.,medicamento,53770,37858,99,0,0.0002,500,-1.0,1.0,0,1.0
1419,dog bust-it elimina olor y manchas 710ml,higiene,accesorio,19240,12759,47,0,0.004,1000,-1.0,1.0,0,1.0
1644,proplan adulto latas,humedo,alimento,4690,3118,14,66,0.015,1600,-1.0,0.0,1,1.0
1387,bravery chicken puppy large/medium breeds 12 kg,cachorros,alimento,59990,45406,182,3,0.015,500,-1.0,0.0,1,1.0
839,zd candy cat collar,paseo,accesorio,4900,3481,10,0,0.001,500,-1.0,1.0,0,1.0
286,zd neon coral adjustable air mesh harness extra small,paseo,accesorio,15100,10985,31,3,0.001,600,-1.0,0.0,1,1.0
1504,fancy feast terrine pavo 85 g,latas,alimento,900,650,3,0,0.015,550,-1.0,0.0,0,1.0
650,zd midnight adjustable air mesh harness extra small,paseo,accesorio,15100,11173,37,0,0.004,1450,-1.0,1.0,0,1.0
704,laguna collar medium,paseo,accesorio,10900,7416,22,0,0.001,500,,,0,
1535,royal can. shn mini junior 7.5 kgr.,cachorros,alimento,61500,47956,185,0,0.015,2600,-1.0,1.0,0,1.0
1151,pederol clortetraciclina2% 250ml (dosis),antibiotico,medicamento,39,25,1,0,0.0002,125,-1.0,1.0,0,1.0
710,collar isabelino 10 cm nº(1),higiene,medicamento,4500,3346,9,21,0.0002,500,-1.0,1.0,1,1.0
1057,dreamwell cama rectangular gris/blanco,camas,accesorio,39990,28052,84,0,0.001,850,-1.0,0.0,0,1.0
1634,zeus filtro fuente mini 3 unid,comederos,accesorio,6790,4498,14,1,0.001,500,-1.0,1.0,1,1.0
939,columbia leash large,paseo,accesorio,16900,12626,42,1,0.004,850,-1.0,0.0,1,1.0
1157,cama chiporro xl catapet,camas,accesorio,31990,24166,67,0,0.001,500,-1.0,1.0,0,1.0
940,afp lamb dog cuddle con nudos,juguetes,accesorio,14490,10800,30,1,0.001,500,-1.0,1.0,1,1.0
1778,zeedog phantom air mesh plus harness medium,paseo,accesorio,22430,17381,55,1,0.004,1700,-1.0,1.0,1,1.0
1328,royal gastrointestinal felino 165 grs. (lata),latas medicadas,alimento,5240,3457,16,0,0.015,3400,,,0,
1175,pawise elefante con tirador,juguetes,accesorio,7990,6356,17,4,0.001,500,-1.0,1.0,1,1.0
493,capa polar chiporro t/4 cata pets,ropa,accesorio,12590,8952,27,3,0.001,500,-1.0,1.0,1,1.0
277,profender cats spot-on pip. 2.5 a 5 kg.,ant. ext.,medicamento,14520,11428,27,1,0.0002,500,,,1,
1726,pro plan reduced calorie m/l 15kg ar,adultos,alimento,81230,55323,246,0,0.015,1150,-1.0,1.0,0,1.0
358,orange and white english cocker  (my family),placas identificacion,accesorio,17560,13083,37,1,0.001,500,-1.0,1.0,1,1.0
1700,zeedog skull h-harness large,paseo,accesorio,18900,13747,39,2,0.001,500,,,1,
236,pro plan puppy small breed 7.5kg ar,cachorros,alimento,56320,40454,170,0,0.015,2800,-1.0,1.0,0,1.0
551,zd candy adj. air mesh harness medium,paseo,accesorio,23900,18766,50,0,0.001,500,-1.0,1.0,0,1.0
1746,white european shorthair (my family),placas identificacion,accesorio,13330,9500,28,1,0.001,500,,,1,
1379,afp green rush p-b-t,juguetes,accesorio,5590,4396,12,1,0.001,500,,,1,
208,milpro gato x 2 comp + 2 kg,antiparasitarios,medicamento,13990,9309,26,5,0.0002,500,0.0,0.0,1,0.0
1769,koralen 20 mg (oral),analgesico,medicamento,15830,11300,30,2,0.0002,500,-1.0,1.0,1,1.0
1463,l.w. comedero o bebedero gde 125 ml,comederos,accesorio,3390,2493,7,3,0.001,500,-1.0,1.0,1,1.0
58,repelente spray interior 300 ml,higiene,accesorio,9220,6558,19,0,0.001,500,-1.0,1.0,0,1.0
1480,coastal sublime collar purple s/m,paseo,accesorio,12490,9262,26,1,0.001,500,-1.0,1.0,1,1.0
363,daily stuff transportadora route 2,hogar-transporte,accesorio,25990,18982,54,3,0.001,500,-1.0,1.0,1,1.0
1164,cama zapato gde. cata pets,camas,accesorio,31790,22427,78,1,0.004,1200,-1.0,1.0,1,1.0
593,bliss adjustable air mesh harness small,paseo,accesorio,19300,15269,41,2,0.001,700,-1.0,1.0,1,1.0
1049,habitrail ovo suite,hogar-transporte,accesorio,69990,52658,171,1,0.004,2400,-1.0,1.0,1,1.0
1503,zeedog atlanta h-harness medium,paseo,accesorio,16840,11137,35,1,0.001,500,-1.0,1.0,1,1.0
741,fp atlas 20 / transportadora 58x37x32h cm,hogar-transporte,accesorio,25070,16769,52,0,0.001,800,-1.0,1.0,0,1.0
1361,pro plan puppy small breed 1kg ar,cachorros,alimento,10880,7274,32,4,0.015,2350,-1.0,1.0,1,1.0
1760,zeedog skull collar cat,paseo,accesorio,3800,2514,7,0,0.001,500,-1.0,1.0,0,1.0
118,zd neon coral leash + harness set,paseo,accesorio,11900,8918,25,0,0.001,500,-1.0,1.0,0,1.0
